0,1,2
#f9f2dc,#af553c,#200c0a
#345567,#98bdc7,#0e1016
#3178b7,#d0bbb4,#684137
#919ea9,#315971,#151e25
#b2bcb7,#161a21,#46666c
#0a0e11,#cbdbd8,#197299
#b8a188,#050303,#f2eeea
#2b2120,#dec393,#816250
#34486f,#a3b8d7,#d1323d
#c6d3e7,#111122,#495c98
#1f3f60,#020306,#638db1
#2e2e34,#a7764c,#edc894
#77362a,#fbfbfa,#b87f66
#0b0403,#bc954b,#5f3b1d
#f2efeb,#433434,#b7887c
#936f40,#393325,#ddbe72
#ccb89c,#713f2d,#1a0a06
#42211d,#b29d8e,#dfd8cd
#181d24,#516f87,#c0c9cc
#4d4437,#eaeae6,#b9ae8e
#d8cfb0,#827868,#352625
#213243,#4c7fa2,#9db8c3
#faf9fa,#2a1721,#8b3249
#aa5f1f,#f3f0f2,#d3a178
#8c7c76,#dededf,#4f4742
#4f7578,#d5cba0,#111a32
#d2b973,#2f3659,#fafaf5
#684750,#f3ece4,#dfa461
#11101c,#d1ba95,#715943
#b6bdc2,#8f5f4d,#100f0d
#22171a,#e0dbdb,#8f7970
#522119,#dbd194,#bc8642
#b0855f,#eee2cf,#503324
#fcfcfc,#23415f,#a6a3af
#0f0908,#644b3b,#c2b197
#835850,#c8bab2,#2e1d1b
#97bff2,#08040c,#bb4a63
0,0,0
#757e52,#b1c1d6,#2d2f28
#e7c279,#1f1313,#445ea1
#281e1b,#88492a,#d8ac59
#8a4f45,#241516,#eab050
#422e1c,#b47d3d,#d6c99b
#dbd8d7,#241d1c,#828d9d
#faf9f9,#363131,#aa9c9f
#1c1e20,#f9f8f8,#a14342
#6a4c51,#bcb1b4,#fcfcfc
#3d5f72,#cfb184,#cb3116
#4c3432,#95a79c,#f9f8f8
#4e5f68,#181c20,#d7a976
0,0,0
#ccdbe5,#807059,#ef3c13
#f6f5f5,#ad6c6a,#181012
0,0,0
#e8ddc9,#1f1413,#ae7656
#514f4f,#b0b4b2,#0c0e0d
#9b9795,#0c0910,#5e4d53
#c1c7d2,#31313e,#222224
#93908b,#141414,#504140
#e0e4f2,#6289c1,#332937
#140709,#989797,#b31517
#8c674d,#130c06,#f9f8f7
#0e1725,#c59a7d,#108ab3
#9d764a,#eae5dd,#332013
#b37541,#ecbf7f,#473b29
#cabeab,#e1b306,#3b2413
#f0ebea,#ba5c38,#431c1c
#3f3b39,#0f0e0e,#b5927f
0,0,0
#f0ebe4,#2d2d1f,#946c59
#441f3e,#100811,#ae615f
#e0e3da,#90c2dc,#3c2917
0,0,0
#f7f2f1,#90898d,#21191a
#e2deb8,#393619,#9e9959
#3d2e36,#aa4f12,#e7ad17
#090b0d,#2c4239,#a4aca3
#6b523e,#080706,#d0c9b2
#de2705,#acc3d3,#110a1f
#ac3533,#2f1917,#d7a15b
#403433,#b79a44,#bccdd7
#192e52,#f2f1f3,#a2a2a8
#d1d1b2,#6a5e3f,#080605
0,0,0
#e2caa7,#9cc0df,#513837
#b8703c,#342119,#e8d7c4
#bfcfd3,#4a84b7,#5c463c
#f7f6f6,#957e74,#281c14
#23222b,#b8b6c9,#495d8c
#eed7b3,#c55f1a,#1c1309
#070606,#e6ccc3,#78494e
#b0a5a0,#6f483d,#1a1413
#2f4566,#809bb0,#0d0f17
#9ba7a7,#0d1214,#fbfcfc
#22241a,#766238,#c8d2b6
#232a4d,#9a90a4,#f9f9fa
#443328,#a08b69,#e4e9ed
#a3392e,#9eaaac,#391a19
#000101,#0c7d35,#20d988
#351c16,#a4562c,#e7a259
0,0,0
#841611,#d6a685,#0e0203
#777471,#24231c,#d6d6d6
#a27f6d,#ebe3dd,#181217
#141821,#9b6948,#e4cca7
#452c25,#191315,#ae7344
#d0c7bf,#83756c,#2a201e
#b38e69,#f8f6f5,#463022
#b69d9a,#2e2226,#6e5e67
#a2887d,#3c3b3d,#f3f6f7
#3f4352,#060c13,#75889e
#d1d1c8,#382b17,#937457
0,0,0
#8a3d2f,#d9bca8,#1a0b0a
#dacdc0,#9b3b3e,#080404
#3c2125,#f2efe6,#a18f88
#3a5d69,#b8ced5,#030b12
#0c0c0e,#d9dade,#a75754
#9f302c,#2a2221,#c7bba8
#62382b,#be5f37,#0c0b0d
#7a3c31,#100608,#e4b7a3
#8390a2,#f9f8f8,#131720
#484442,#020203,#858682
#a4a0a5,#73737b,#44322f
#9cbed9,#d7e7f6,#7f5a5c
#73564b,#0d0909,#d6bcaf
#7dbdbd,#ad6445,#3b251c
#9c4625,#f79a1c,#220e08
#0d89a0,#d3b496,#573e34
#40382e,#891622,#b6a397
#0b0a0c,#593d34,#a77c5c
#65647c,#bbc5de,#181824
#aec5d9,#15171d,#50667d
#322c38,#c38d74,#f9f8f7
#e1ae27,#444832,#8fbce7
#cf7257,#32507c,#d6d3d3
#b38d66,#170f09,#47331f
#e4c291,#664328,#7389d5
#15151b,#8c9292,#594849
0,0,0
#533937,#efecee,#af877a
#54543b,#e0e0de,#a8a194
#928a93,#b4c4d8,#402e2d
#5c2f22,#f5f4f4,#c8978e
#914b2f,#27160c,#c1b2a8
#3f2f24,#ede2cc,#c18053
#11191c,#b3c0c7,#354a53
#d07a53,#f6efd9,#302837
#363135,#f6f2db,#bca778
#f3e6e0,#bd7c69,#792315
#825424,#19150b,#cbaa7c
#4e5e43,#83917e,#9bcdea
#342b1a,#e9c10d,#d9d1b7
#251c12,#d2b997,#7b632a
#986659,#d2cac5,#392c27
#34454b,#161b21,#93886e
0,0,0
#272222,#7a6868,#dbd8d3
#1f433d,#c9be7a,#498375
#d7e4e2,#a68451,#2a1710
#040202,#adb093,#43312b
#c2c2c9,#9a685d,#ebeff3
#010406,#728b92,#283d3f
#181818,#7b624c,#ceb8a6
#2f201c,#b77841,#f9f8f6
#5f220f,#bc8a74,#f8f9f7
#8da670,#070b0c,#405352
0,0,0
#767d72,#d9dbd1,#242c2d
#c25b25,#ecc88c,#39120c
#d59c88,#5d2c29,#060303
#17121c,#d3c5be,#9f5a46
#c3c5d0,#25303c,#676979
#4e2920,#f7df00,#b88f56
#761f19,#928a90,#e8dcd4
0,0,0
#321c1e,#d5dbdf,#9a979a
#613529,#d29971,#141115
#6e6a66,#e6deb6,#0c0a0a
#9c7c59,#200b0b,#f1ebd8
#b46f3d,#f0d49b,#241515
#6c4338,#151517,#c89b60
#455b58,#d0cfc7,#11161b
#d1c4b5,#72523d,#090807
#ab5741,#d9a67d,#312721
#040203,#5d2e2b,#dd795d
#d7d7d0,#a4a192,#727367
#ac5a5f,#2b2525,#ebe1d3
#a77059,#f5ebe7,#211817
#a33336,#110506,#ce908b
#1d2a31,#486f7d,#a1c1c6
#99644f,#f0eee9,#170e0b
#6b3025,#697887,#acaebb
#0d0604,#b1a39b,#41352f
0,0,0
#162a35,#829ba9,#476271
#fbfbfb,#703a38,#ca947f
#ecddc8,#322114,#a86d3b
#e9e0dd,#221c1a,#af6a4b
#cbaa96,#4a67ad,#230f1b
#1f1512,#c5d4cf,#707a6d
#c65a41,#eeedeb,#40b9ec
#0a0808,#665251,#f7f6f6
#e7d2b3,#b5865b,#5a3c2c
#646568,#2e3f46,#c9cacb
#debaa2,#7b7faa,#805042
#e0f3f5,#854440,#78bee5
#afd2e1,#03162c,#2b6d8b
#e8cc51,#8d4414,#18060c
0,0,0
#cc9e68,#5a4128,#090808
#58483e,#ce9e72,#efeee8
#946840,#171714,#acbfc4
0,0,0
#cf0122,#6b0814,#0e0405
#d8ddde,#555d61,#05070a
#441921,#b43937,#e4903e
#d5ad8f,#9e593d,#251611
#d9c267,#34384a,#c5432f
#161912,#b0ab6a,#58654c
#646a67,#18171b,#babfb7
#d7cfc8,#76695e,#13110e
#402f32,#cf5f58,#f7f5f5
#b3af86,#081027,#264572
#d1b9a2,#76423c,#090908
0,0,0
#2f2432,#d6d3ed,#7f6793
#211b10,#c7cab9,#7c6c49
#162210,#8c7c60,#444328
#4b656a,#223035,#d0bdb0
#bbbdc7,#735862,#171d37
#f4977e,#0e0a07,#9e4923
#181515,#6a605a,#bab1aa
#7f1f12,#1a0302,#edecec
#6fb040,#323729,#d8f356
#669d67,#b2c492,#354437
#6b4f4c,#181312,#998e89
#544d43,#aca28e,#141010
#120e10,#efe9df,#a95c60
#1d1f1e,#b52c24,#81888c
#cec9c3,#444f52,#a7896e
#4e5766,#030408,#cdd0dc
#bfa584,#514944,#0b0b0e
#f7f7f8,#8d818c,#0d0c12
#10131b,#a4c8da,#2b6a91
#b19070,#5e4435,#14171f
#ae9454,#25201a,#ecd30d
#bf3937,#28435d,#75bfe4
#c7a64c,#0a0707,#6f5a23
#d7a97a,#60362e,#a46d50
#bec3b3,#2b1b15,#75614c
#729091,#bee1e5,#1d2223
#0e0907,#e4cb9f,#9b6432
#0e0f0e,#4b3433,#8f8987
#774a32,#20130c,#c4b08d
0,0,0
#554847,#15191f,#b1b2a4
#e8eef8,#bbc5d6,#98735b
#d3dcf1,#586ba2,#1a162a
#341f17,#e4bc98,#a1674b
#281b15,#985d3d,#eae0d7
#82847d,#0d0d0d,#f1f2f0
#f6f5f5,#131312,#946965
#c5b097,#1b0e09,#7a402d
#15292a,#f0e9d5,#ec5c22
#99a19e,#0d1c15,#32586a
#ddd7a7,#0a0405,#843429
#081667,#b94d17,#030201
#b06913,#d9b88b,#191816
#c28b86,#724245,#f6f5f4
#3c89a8,#201214,#b9bcb5
#36373b,#967a5a,#d3d4ca
#1e2c4e,#3e7da3,#8cbbc3
#ddc4a5,#845e4f,#231d1c
#d4c4c8,#3e2e26,#ab8069
0,0,0
#b2b8cb,#0a0a0f,#51576f
#151719,#734732,#969694
#5a7172,#bdcfcd,#161211
#a56b4e,#271c10,#dac2ac
#907858,#f2ece4,#443326
#ece8d6,#36261f,#7e6a56
0,0,0
#517ca9,#c3a786,#5c3f35
#040303,#49393a,#a4a2a2
#8c5352,#d0bfab,#1c1a1e
0,0,0
#1d221a,#3e625a,#84cfc3
#c08a73,#9c242a,#e2c8bf
#a76635,#e7b26b,#3d2c21
0,0,0
#c3c7b4,#463123,#83766b
#171529,#e0dcd7,#8e6e65
#c9a09d,#f8f0ef,#442922
#737377,#070b11,#32373d
#9b8775,#5e5142,#151313
#ceb7b5,#261823,#805469
#222228,#c8b3a9,#b13c2a
#958c7f,#532f29,#e6e7e7
#1d0c08,#756f68,#b50407
#e78b1c,#533122,#f0e87c
#282613,#dbc17d,#7d6d47
#a14a37,#3e6222,#121214
#370f10,#ae3e2d,#e0b28e
#f1eae7,#7e2929,#d09880
#303e2b,#789c4c,#c7ba77
#d7ae89,#833d35,#0e0607
#87554f,#21171a,#ebe7ea
#443625,#e7cb94,#a3794d
#f6efe0,#f9ea0a,#b6854d
#6f96b0,#d3dde6,#2a2c28
#b5e0e9,#41759c,#171d2a
#f6efef,#2b2d48,#d51c32
#cea06d,#a6603c,#34181c
#e7b276,#dae4dd,#9d3220
#a9897c,#8b2627,#edeeee
#4f6978,#a4ada9,#232831
#241a2a,#dfc9ca,#6e4d6a
#ad8976,#e9e1dc,#492e2a
#bba675,#171003,#6a4c18
#ab685c,#faf9f9,#302523
#a47651,#3a2d16,#b8dae7
#695acf,#d58e53,#29151e
#ca3439,#060e2e,#7d090d
#c9baa6,#806146,#f9f8f6
#dfe6ee,#717493,#110f11
#2c5a7c,#b1c4d1,#060a10
0,0,0
0,0,0
#bd8461,#3e566a,#d3e4e3
#281012,#783128,#c9834e
#140e0c,#d3ccc3,#60544f
#52454b,#9c948a,#191721
0,0,0
#2a1810,#dd933d,#894c1d
#1c1916,#713718,#ac6c38
#06111e,#343d47,#949e99
#141619,#c2daeb,#426a98
#0b0d0a,#524d38,#b99f70
#452b22,#c48d62,#f4f0eb
#9b4d47,#e3e1e1,#1d1013
0,0,0
#060505,#c20a14,#7c191c
#7e9aaa,#b0c4d4,#3d4b5a
#bc9389,#6c2d25,#f9f7f6
#af6132,#160d08,#eed7a7
#3e5575,#bc7d54,#99bde2
#9da4af,#5e4a57,#10111b
#120907,#e6ced3,#8d625f
#251519,#a8c4aa,#3b90a3
#7b4b37,#d9c1a9,#090404
#090709,#daa94d,#9a4028
#d69d34,#1b200c,#694d20
#518192,#532821,#d4bf96
#f7f4f0,#f1bd93,#d26935
#a1a9bc,#424c60,#0d0f19
#0b1217,#466e8f,#dee5ea
#7b2a0f,#f1e2c4,#d7924d
#7f3f2a,#1a0e0d,#baa399
#28180a,#decca6,#916128
#e8c5a8,#b53a34,#201612
#eef3f9,#8d8fbc,#1c1a24
#a7a042,#514526,#dae5df
#e66f35,#020101,#6c3b2b
#d8dcdf,#8a98a2,#2c313d
#e2dcdd,#aea2a0,#302e2e
0,0,0
#53584c,#acb692,#f1f3ec
#1a1419,#b46d5c,#f8f3ee
#cfa360,#6d4c39,#120d0d
#907363,#edefee,#331f24
#e0d9d3,#927060,#2e221d
#0b0404,#e9b490,#904b32
#cbc6c4,#836d77,#24272f
#787e8a,#f4f5f8,#070607
#ac8f26,#6db7b7,#d5eade
#3a2315,#d05e36,#f9f3ee
#0e0811,#9eb5bb,#4e4657
#4d4d64,#07080d,#a8a1b0
#85b1ca,#58575a,#050407
#2f1c15,#f8f6f4,#a97c60
#cea76d,#9d4326,#2b201d
#e2af2c,#c8ddd6,#4c6153
#ded2c4,#d46534,#481b12
#775f51,#211715,#c4c8cc
#c7b9a7,#647da0,#473d3e
#d99a4a,#3c180b,#94512a
#040508,#b9a895,#413e3e
#aec7de,#3d3217,#99794e
#230e07,#9f4b1c,#d5c7ab
#e88424,#f7df99,#1d0b07
#482d25,#d58923,#04080d
#385b77,#89a7c0,#10202d
#d69a5e,#aacfeb,#2b2f22
#c3cac7,#bc7635,#261a10
#030202,#4e3a28,#c59c65
#fcfcfc,#bba197,#372d2a
0,0,0
#7a5860,#221a27,#c9b1c3
#8d8c8c,#181818,#e9e9e9
#dfdedc,#757472,#120f0d
#b45737,#452131,#bbaba9
#dcd5d5,#0d080a,#704d4e
#f6f5f6,#22252d,#9e7164
#baa9a6,#0d0808,#584843
#9a4649,#e7e2e0,#4e7b9b
#375255,#04090a,#c2d0d4
#e6ddd3,#836e5e,#171714
#141613,#d5cbba,#8e7256
#282223,#4284a7,#cf9e83
#d4d1ca,#5c5957,#0e0e0d
0,0,0
#1d2c41,#e9e5e1,#ac7d6b
#8f6560,#c7bab2,#4b3534
#1c3c56,#917963,#5f9aaf
#b2a8a0,#f3f2f1,#584948
#a44e3b,#3c1f1e,#e5ba72
#c6a479,#615f58,#1e2518
#90a9bf,#dfe6f0,#5d3740
#272029,#ecebec,#906261
#d3cdb2,#687e7d,#282a2c
0,0,0
#33323f,#e1e1e2,#040017
#141413,#bfbab6,#7c4c4b
#161214,#f8f9f9,#888c92
#5a323c,#e9eaee,#a3979b
#98a9c3,#dfc574,#636c88
0,0,0
#422020,#9ebded,#cc4748
#cc9e5d,#4b301e,#efe1cf
#fdfdfd,#292628,#9e8e65
#f9f8f8,#a96469,#140d11
#020506,#355b66,#c2b49a
#2d4756,#060b12,#adbfc7
#17090c,#939092,#474044
#e5cdae,#c86f14,#5d3816
#c1b09d,#221a14,#7e6250
#6f4d36,#d2aa81,#0c0807
#c2ad9c,#534439,#073d88
#684530,#19140f,#d18c59
#ecd4c0,#0a0404,#883d25
#291a0b,#b7b9a7,#797149
#a7b1ac,#071012,#485f5b
#283645,#060608,#9b9fa9
#10b7e0,#2e2823,#d6b1c0
#32272a,#86a8cf,#a86340
#3f4643,#7d857e,#080b0a
#85708b,#402b27,#ede8ee
#878586,#020202,#323031
#faf3f0,#3e2530,#aa8489
#dba981,#512418,#080403
#090a09,#69665e,#ebe4de
#604d40,#2d2925,#b29f8e
#766e31,#fcfcfa,#c69764
#f9f5f2,#c9a083,#3c2822
#040304,#292626,#6e6b69
#c49820,#363a3d,#c2bbb7
#152641,#34618d,#6ea0c9
0,0,0
#938289,#2c251f,#eee9ea
#95b3cf,#304054,#010204
#9e8659,#423c24,#acbbca
#9b482f,#240e0d,#f0b784
#785a4a,#1d1715,#cdb9a2
#786a4f,#fdfaed,#fdd95d
#695f59,#cab4a9,#272422
#0f0304,#bcbebf,#403e3e
#6f5c59,#242529,#d5b88f
#3e1718,#d46432,#f9f8f5
#b1715b,#281e1c,#e3d4c9
#c09171,#fbf9f9,#161214
#344349,#92afb9,#05070b
#1f5e78,#c1b0a4,#ededeb
#af9163,#f6f0a1,#332d1c
#727685,#cfc3c1,#293343
#51645c,#df7e59,#f1f6fa
#9d856b,#c7bbac,#753928
#2c1d17,#8a847b,#ddd8d2
0,0,0
#eac8b5,#a1745d,#342827
#352e2f,#f5f5f4,#ba957a
#20161e,#6d6370,#d5d4da
#f6f4ea,#ca7128,#381b18
#a5aeae,#2c1f1e,#9b4d31
0,0,0
#b69241,#434444,#c1c1c6
#dee476,#373a38,#7b8b54
#eabd61,#9e4d28,#1c1412
#d09879,#305131,#0f110d
#cb9970,#281f18,#f7efe4
#170f0f,#923a37,#d3b172
0,0,0
#3b3d26,#d8e2e7,#8cb3bf
#22f2f9,#add9e7,#7de7ee
#206a76,#cfd8d7,#9e8961
#120c0a,#7f4128,#dbbc96
#ddd4cb,#948367,#2d3421
#090a14,#544d4e,#c1bab6
#de3240,#b0aea6,#302d29
#090a0e,#ecd5cb,#927164
#e6c5b2,#535555,#cc5e69
#170b09,#ccbaa0,#904731
#0e0f0e,#818480,#fafafa
#eef0f5,#816455,#0c0909
#482e2a,#c5b998,#1a5597
#2b100a,#70c1ce,#aa6228
#ceab83,#f2ede5,#333a4b
#cad8e2,#908a90,#34302d
#255929,#c3ac84,#050603
#262621,#947054,#dfceb5
#261b14,#d8832a,#d8c2af
#a6b0b8,#456790,#172749
#0d0703,#926f0e,#d5b76a
#0b2c49,#c1d1e2,#447599
#5e767e,#1a272b,#ced9da
#487090,#0b1318,#dfe6ea
#f9f9f9,#433939,#8d8487
#e6e7eb,#a3999c,#323a55
#315b5a,#d5e0cd,#82a69b
#180b0b,#bc7e4a,#713f30
#7e7c6e,#060605,#343430
#9e5034,#0e0706,#efcd9e
#271c27,#57639c,#d7dae9
#2a2220,#cdbdb1,#8e7363
#090302,#f0b44c,#7f341b
#7d02e3,#9da2a5,#43415b
#2e2140,#886872,#ddba9c
#c5abaf,#220d19,#b80d19
#1a0a06,#e1b96b,#a14217
#f0eff0,#060505,#876b63
#030508,#b2b7d4,#356394
#d64707,#e0d0ca,#130a09
#4f3640,#f3f4f2,#9a9ba7
#72786f,#232725,#c9d0c6
#b6a795,#1c0e0b,#8b2c2c
#243031,#c9d2d3,#707f7f
#636b91,#2e2a34,#d2cdca
#d1dcd8,#2f4759,#a37a74
#6f696f,#eff2f4,#0f0e10
#e2d7bf,#201916,#796658
#c7a680,#2c222a,#946034
#9c6655,#f5f1ef,#181815
#8d7353,#f1ebd3,#1e1a14
#b8b8b8,#5a5d56,#1f201f
#456e89,#0e171e,#a3cad2
#c0bda2,#1f1a15,#8e392e
#369cde,#543634,#b5bdb4
#7e92c0,#294899,#bdc7da
#3a2319,#8a6140,#d7c7a9
#1c1312,#ad8176,#f5f8f9
#cd4f43,#181e22,#f7f7f7
#fafbf8,#923d32,#c8c9bc
#2c2120,#9f4640,#dfb46c
0,0,0
#ccccca,#696562,#110f0e
#bb9a7a,#624832,#100d08
#12131b,#3b4d62,#afb372
#293440,#859490,#bbccc5
#141212,#742318,#d97c30
#120806,#a24b33,#eec28f
#f8f7f7,#d48482,#474643
#52a7d4,#d8e8f3,#122e4b
#d3d0ca,#787670,#f3f4f4
#6d91a2,#393438,#c6d2dc
#dbac7b,#100d0f,#784b41
0,0,0
#54595e,#e0d9cc,#a6998b
#e9e2e2,#b8a399,#781f10
#677e8a,#b9bfbe,#444440
0,0,0
#16293f,#415e7b,#020509
#b95d35,#e1ba5b,#512922
#af5530,#210f0e,#dec7a2
#151d25,#9b9981,#39444b
#5b8bb3,#b0c3d2,#1c4d99
#ab5639,#4e110d,#eeccb7
#6e513f,#18110d,#d3bca1
#c1bcaa,#535f66,#202228
#6e6165,#d4ccc9,#020202
#a2b0ba,#08080e,#71484d
#ccc2b0,#1d1612,#7d5f4b
#e2cdb9,#341113,#922b29
#7b623a,#e8ede5,#c4b683
#d9ccbe,#2f1e17,#866756
#e9d4b7,#040404,#906042
#6c5854,#b4a79e,#220f12
#c25759,#9daaa7,#192332
#647895,#1c2c4a,#b1c8dc
#49352d,#0d0605,#ba9989
#3f2d1e,#ddc9a7,#bb8d51
#69586e,#c5bacb,#181414
#707b7c,#c3bfa0,#231b19
#bebaad,#0f0f0f,#57544e
0,0,0
#131d36,#276baa,#da9861
#aa8a7d,#f8f7f7,#392c25
#318fad,#bed4d5,#031836
#181613,#d9b283,#80412b
#fbf5e2,#edc879,#563f17
#333829,#d3cdc9,#7a7353
#160e10,#ae856a,#5d372e
#f1f4fb,#645e89,#aea9cc
#bcae9d,#11090c,#69544a
#328fb1,#4f431d,#d9d6c8
#931d61,#f9f9f9,#b69fa9
#1e1e32,#c3bfc1,#3b5d87
#6f342d,#c6b272,#150a0d
#9b7653,#eadaba,#291811
#d4d2cc,#191a19,#7c5b55
#951823,#e58f23,#fcfbfb
#0d090e,#e7cba9,#af6254
#7b3c1d,#c5b69a,#2f140c
#272926,#e8ded6,#84715f
#201e1a,#665f43,#c3ced7
#ccc3bd,#213453,#8d564f
#b34c2c,#e6c79d,#240c0c
#a48f88,#2d1c1d,#f3f1ee
#7f7d6b,#282520,#bab398
#c37463,#fcfbfb,#550c07
#af3327,#22313a,#beb397
#caaf93,#826355,#251919
#3d3854,#0e0d12,#9e92aa
#e9ebeb,#1a2225,#647a81
#4a203e,#b49a66,#d7c6af
#5a5c61,#f8f9f9,#eeb83f
#dac8b0,#b35f21,#2e1d16
0,0,0
#a7b1c5,#393940,#bc383e
#181616,#b6a88e,#fdfdfc
#14110e,#e7e6e3,#837056
#8d3c2e,#272e36,#8f888c
#ba2e2b,#22100e,#e1bda8
#774820,#eba365,#1d1c13
#433e44,#141013,#bca57f
#a3b8ba,#4c5a60,#17171a
#2b1513,#b1826e,#f5efe9
#dbd8d3,#a68270,#251a19
#492c22,#9f7661,#dcd3cc
#fcfdf7,#cec6be,#4d3b37
#8e95a7,#53575f,#212122
#654139,#c59d88,#f0edea
#412e2c,#edebea,#a37d6d
#263c4f,#7296aa,#040912
#f5f4f5,#b07976,#2b2423
#755639,#d6c199,#2da8d7
#244130,#6e9258,#cfd5bb
#b48779,#ece2d9,#422825
#c8bab9,#b6181a,#462123
#7e7d7f,#0a0710,#39383c
#c29790,#eae5e4,#382720
#aaadab,#645b5f,#151318
#232a2f,#919b9f,#050608
#9b7058,#221b19,#ecdac9
#907254,#f9f9f9,#c6c9c7
#c29c8c,#70453e,#050404
#95896d,#3f3f2d,#e4e7ea
#faf9e8,#493752,#9d9980
#5e516d,#d1bcb4,#182132
#040202,#51382b,#bc894d
#0e0607,#d7ae89,#843d35
#166bf6,#65c6f6,#e8dad0
#010506,#8db292,#184341
#432c2e,#f7f1f2,#be9396
#55443a,#ab9a90,#170d09
#030102,#9fa898,#433530
#030c0d,#a4c7c9,#235f63
#b47c7f,#4c5592,#251f23
#a9aebe,#48505f,#0f1217
0,0,0
#9e5437,#dfc195,#0e0c08
#2e2a1c,#ebe8df,#a58d82
#edf1f1,#131617,#8e9e9e
#114f7d,#060b1e,#338ec3
#39486e,#0b1629,#adaabc
#323211,#84832c,#62bff3
#28211f,#c1a786,#98693d
#d8e0e7,#6e8795,#0f262e
#516178,#d2ad73,#afcbe0
#6c605e,#150b09,#cecac7
#f5fafb,#749ca7,#1e2e35
#bdc8d2,#3d6c7d,#c76245
#281f23,#e3d6c9,#a06f57
#47595c,#b8b3ad,#101314
#c0b7a3,#0c0c0c,#554d3f
#5a5a7a,#bdbece,#0b0910
#6e6968,#120d0f,#c8d1d5
#46a198,#271724,#b9b446
#9b4425,#1e0c0d,#d7bc94
#98171e,#d6d4d4,#161515
#f6f7f6,#533e2c,#d0a47a
#6c412a,#a99675,#dfedf5
#6e8c98,#36424e,#080e14
#d0c492,#555e66,#10111a
#999090,#1d1f1d,#f8f7f8
0,0,0
#52737f,#122126,#aacbcd
#e6e7e9,#39494d,#959da1
#3d241e,#a99790,#faf9f8
#d9cdc5,#9b7f6b,#6d2520
#9eb4c3,#eff4f6,#415767
#382e2e,#7c7976,#cccdcc
#846f58,#de1723,#29241d
#616242,#beb155,#223a39
#8f7473,#ded3de,#191311
#030303,#49484a,#bbb9ba
#309cc8,#55464c,#b9d2dd
#8d8e98,#4e4e58,#caccd2
#4353a0,#d2ceed,#141c22
#bc9951,#6b3e1e,#ece5d4
#8a4340,#180f0f,#d4cac9
#e3dfdc,#442725,#8c94b3
#b22c41,#191a1d,#dd9894
#c0a4a3,#28232e,#f7f3f2
#e6b873,#9f5b35,#1c0d0c
#d2c9b5,#274c63,#a1845d
#7c5734,#dba758,#0f0b08
#27170f,#f4a61e,#a9480f
#e6e5da,#261c14,#2b8bad
#9b7b5a,#e0daba,#372930
#906047,#1d1b15,#d0c1a5
#535451,#a4a19b,#1c1712
#aebfbc,#58645b,#131714
#1a1219,#7c6568,#d9c4bf
#d7b28a,#816342,#291f16
#d9b026,#100803,#7c4c14
#918b74,#252a2c,#e1d6c4
#eaddd1,#2d282e,#887b71
#153c83,#0f7bc3,#89c5e3
#301a11,#f1e8d6,#957154
#0b1215,#cfceca,#41636b
#0f0d0c,#654231,#cb8e42
#f5f0ee,#c29f50,#302b20
#200d03,#ccc8b9,#c49e06
#bbaeb0,#0f0e0f,#6a4346
#241d14,#9f7c65,#efede6
#4d6a79,#0f161b,#95b8d4
#372724,#cf5b4f,#b6cad8
#bed9e4,#ac8862,#2e4225
#1e2028,#b0a28d,#56595f
#190b22,#d095b2,#6b296f
#010101,#b68d52,#524e48
0,0,0
#07090a,#c2cdcc,#51484b
#190d0a,#edbc69,#a45c32
#e0dfd0,#af493f,#202245
#1585c6,#181c28,#c0c8bd
#d2c7ba,#131522,#43556d
#5b160e,#a6190a,#beac9e
#c0afa2,#fbfbfa,#6e5c50
#557f2d,#1a2214,#9fb8b1
#24571e,#c4af83,#fbfafa
#baa698,#984d28,#1b1310
#ebebed,#9695a1,#1e3673
#eae6e2,#1f1513,#b97b6b
#973329,#c7cec7,#62c3ce
#f2e8ea,#a75f69,#482b1f
#eac5b2,#a16955,#33160f
#cf8b52,#1e1111,#741c20
#e6d8c5,#956253,#20202c
#bf9658,#140f08,#624529
#c4a087,#453933,#f0eae1
#d87b56,#3e2b27,#97d6ee
#1d1f20,#b0b5b7,#62696a
0,0,0
#3e434a,#060808,#8b8f9a
#23898d,#c3b389,#16160e
#211e1f,#826555,#edeae5
#bd9046,#f8efcd,#2b1d12
#d6cfd4,#27353d,#717c7c
#2e1504,#f8e589,#c47522
0,0,0
#8e7968,#281f16,#dfcdbf
0,0,0
#d8e8f3,#1b2639,#2a76ab
#6b6e5e,#2e2e28,#bec4ba
#748d96,#eef2e8,#272226
#220e0d,#ddae92,#a3513e
#e0d3b7,#9f796b,#333b4c
#3d2030,#b3573d,#f6f7f7
#7c4f45,#f1f1e7,#1c100d
#1f1413,#c1c4bd,#686172
#944f46,#302320,#e4e1dd
#26252d,#b69048,#9bcbe5
0,0,0
#f9f9f8,#525059,#a1afb0
#fbf9f8,#d2a463,#705331
#0a0a10,#bfcad4,#514d46
#19100d,#ece4e6,#9e7660
#b19997,#30251d,#796c64
0,0,0
#0b0d17,#a87fa9,#313e8e
#080d10,#72b0b9,#13556a
#c1d2dc,#192c3d,#51748c
#bfc6b8,#1a3541,#d45422
#ede1de,#0a090c,#9a634d
#663835,#cea48d,#0e0a0b
#655c47,#3a1b17,#bdbbb2
#80574f,#c6a89d,#f7f7f6
#64362f,#d0b177,#1e69a3
0,0,0
